2024-06-30 20:57:23,657 INFO    MainThread:612767 [wandb_setup.py:_flush():76] Current SDK version is 0.17.1
2024-06-30 20:57:23,658 INFO    MainThread:612767 [wandb_setup.py:_flush():76] Configure stats pid to 612767
2024-06-30 20:57:23,658 INFO    MainThread:612767 [wandb_setup.py:_flush():76] Loading settings from /home/tzikos/.config/wandb/settings
2024-06-30 20:57:23,658 INFO    MainThread:612767 [wandb_setup.py:_flush():76] Loading settings from /home/tzikos/Desktop/KULeuvenThesis/wandb/settings
2024-06-30 20:57:23,658 INFO    MainThread:612767 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-06-30 20:57:23,658 INFO    MainThread:612767 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-06-30 20:57:23,658 INFO    MainThread:612767 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/home/tzikos/Desktop/KULeuvenThesis/main.py', 'program': '/home/tzikos/Desktop/KULeuvenThesis/main.py'}
2024-06-30 20:57:23,658 INFO    MainThread:612767 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-06-30 20:57:23,658 INFO    MainThread:612767 [wandb_init.py:_log_setup():520] Logging user logs to /home/tzikos/Desktop/KULeuvenThesis/wandb/run-20240630_205723-h3xqdb8e/logs/debug.log
2024-06-30 20:57:23,658 INFO    MainThread:612767 [wandb_init.py:_log_setup():521] Logging internal logs to /home/tzikos/Desktop/KULeuvenThesis/wandb/run-20240630_205723-h3xqdb8e/logs/debug-internal.log
2024-06-30 20:57:23,658 INFO    MainThread:612767 [wandb_init.py:init():560] calling init triggers
2024-06-30 20:57:23,658 INFO    MainThread:612767 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {'learning_rate': 1e-05, 'batch_size': 64, 'L1': None, 'L2': 0.0001, 'A': 1, 'early_patience': 12, 'reduce_lr_patience': 5, 'architecture': 'ECGCNNClassifier', 'experiment': 'pre', 'use_pretrained': False}
2024-06-30 20:57:23,658 INFO    MainThread:612767 [wandb_init.py:init():610] starting backend
2024-06-30 20:57:23,658 INFO    MainThread:612767 [wandb_init.py:init():614] setting up manager
2024-06-30 20:57:23,660 INFO    MainThread:612767 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-06-30 20:57:23,661 INFO    MainThread:612767 [wandb_init.py:init():622] backend started and connected
2024-06-30 20:57:23,672 INFO    MainThread:612767 [wandb_init.py:init():711] updated telemetry
2024-06-30 20:57:23,687 INFO    MainThread:612767 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-06-30 20:57:24,731 INFO    MainThread:612767 [wandb_run.py:_on_init():2402] communicating current version
2024-06-30 20:57:25,113 INFO    MainThread:612767 [wandb_run.py:_on_init():2411] got version response upgrade_message: "wandb version 0.17.3 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-06-30 20:57:25,114 INFO    MainThread:612767 [wandb_init.py:init():795] starting run threads in backend
2024-06-30 20:57:28,060 INFO    MainThread:612767 [wandb_run.py:_console_start():2380] atexit reg
2024-06-30 20:57:28,060 INFO    MainThread:612767 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-06-30 20:57:28,060 INFO    MainThread:612767 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-06-30 20:57:28,060 INFO    MainThread:612767 [wandb_run.py:_redirect():2325] Redirects installed.
2024-06-30 20:57:28,061 INFO    MainThread:612767 [wandb_init.py:init():838] run started, returning control to user process
2024-06-30 21:05:25,692 INFO    MainThread:612767 [wandb_run.py:_finish():2109] finishing run kuthesis/KU AI Thesis/h3xqdb8e
2024-06-30 21:05:25,692 INFO    MainThread:612767 [wandb_run.py:_atexit_cleanup():2349] got exitcode: 0
2024-06-30 21:05:25,693 INFO    MainThread:612767 [wandb_run.py:_restore():2332] restore
2024-06-30 21:05:25,693 INFO    MainThread:612767 [wandb_run.py:_restore():2338] restore done
2024-06-30 21:05:40,254 INFO    MainThread:612767 [wandb_run.py:_footer_history_summary_info():4008] rendering history
2024-06-30 21:05:40,255 INFO    MainThread:612767 [wandb_run.py:_footer_history_summary_info():4040] rendering summary
2024-06-30 21:05:40,262 INFO    MainThread:612767 [wandb_run.py:_footer_sync_info():3967] logging synced files
