2024-07-29 09:52:25,526 INFO    MainThread:96003 [wandb_setup.py:_flush():76] Current SDK version is 0.17.5
2024-07-29 09:52:25,527 INFO    MainThread:96003 [wandb_setup.py:_flush():76] Configure stats pid to 96003
2024-07-29 09:52:25,527 INFO    MainThread:96003 [wandb_setup.py:_flush():76] Loading settings from /home/tzikos/.config/wandb/settings
2024-07-29 09:52:25,527 INFO    MainThread:96003 [wandb_setup.py:_flush():76] Loading settings from /home/tzikos/Desktop/KULeuvenThesis/wandb/settings
2024-07-29 09:52:25,527 INFO    MainThread:96003 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-29 09:52:25,527 INFO    MainThread:96003 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-29 09:52:25,527 INFO    MainThread:96003 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'hybridML.py', 'program_abspath': '/home/tzikos/Desktop/KULeuvenThesis/hybridML.py', 'program': '/home/tzikos/Desktop/KULeuvenThesis/hybridML.py'}
2024-07-29 09:52:25,527 INFO    MainThread:96003 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-29 09:52:25,527 INFO    MainThread:96003 [wandb_init.py:_log_setup():529] Logging user logs to /home/tzikos/Desktop/KULeuvenThesis/wandb/run-20240729_095225-xw977iy9/logs/debug.log
2024-07-29 09:52:25,527 INFO    MainThread:96003 [wandb_init.py:_log_setup():530] Logging internal logs to /home/tzikos/Desktop/KULeuvenThesis/wandb/run-20240729_095225-xw977iy9/logs/debug-internal.log
2024-07-29 09:52:25,527 INFO    MainThread:96003 [wandb_init.py:init():569] calling init triggers
2024-07-29 09:52:25,527 INFO    MainThread:96003 [wandb_init.py:init():576] wandb.init called with sweep_config: {}
config: {'used LDAs': True, 'C': 0.1, 'fold': 8, 'batch_size': 64, 'architecture': 'ECGCNNClassifier_fold8_tachy_B64_L1e-06_24-06-24-11-02.pth', 'experiment': 'tachy', 'ignoreMissing': False, 'solver': 'svd', 'subtype': '5-class'}
2024-07-29 09:52:25,527 INFO    MainThread:96003 [wandb_init.py:init():619] starting backend
2024-07-29 09:52:25,527 INFO    MainThread:96003 [wandb_init.py:init():623] setting up manager
2024-07-29 09:52:25,529 INFO    MainThread:96003 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-29 09:52:25,531 INFO    MainThread:96003 [wandb_init.py:init():631] backend started and connected
2024-07-29 09:52:25,538 INFO    MainThread:96003 [wandb_init.py:init():720] updated telemetry
2024-07-29 09:52:25,544 INFO    MainThread:96003 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-07-29 09:52:26,073 INFO    MainThread:96003 [wandb_run.py:_on_init():2435] communicating current version
2024-07-29 09:52:26,189 INFO    MainThread:96003 [wandb_run.py:_on_init():2444] got version response 
2024-07-29 09:52:26,190 INFO    MainThread:96003 [wandb_init.py:init():804] starting run threads in backend
2024-07-29 09:52:28,851 INFO    MainThread:96003 [wandb_run.py:_console_start():2413] atexit reg
2024-07-29 09:52:28,851 INFO    MainThread:96003 [wandb_run.py:_redirect():2255] redirect: wrap_raw
2024-07-29 09:52:28,851 INFO    MainThread:96003 [wandb_run.py:_redirect():2320] Wrapping output streams.
2024-07-29 09:52:28,851 INFO    MainThread:96003 [wandb_run.py:_redirect():2345] Redirects installed.
2024-07-29 09:52:28,855 INFO    MainThread:96003 [wandb_init.py:init():847] run started, returning control to user process
2024-07-29 09:52:32,331 INFO    MainThread:96003 [wandb_run.py:_finish():2107] finishing run kuthesis/KU Thesis - Hybrid ML/xw977iy9
2024-07-29 09:52:32,331 INFO    MainThread:96003 [wandb_run.py:_atexit_cleanup():2374] got exitcode: 0
2024-07-29 09:52:32,331 INFO    MainThread:96003 [wandb_run.py:_restore():2352] restore
2024-07-29 09:52:32,331 INFO    MainThread:96003 [wandb_run.py:_restore():2358] restore done
2024-07-29 09:52:40,593 INFO    MainThread:96003 [wandb_run.py:_footer_history_summary_info():4016] rendering history
2024-07-29 09:52:40,594 INFO    MainThread:96003 [wandb_run.py:_footer_history_summary_info():4048] rendering summary
2024-07-29 09:52:40,599 INFO    MainThread:96003 [wandb_run.py:_footer_sync_info():3975] logging synced files
